# all genes in this table have their expression variance significantly explained by subclone, tumor density, or both using a stepwise regression with a threshold of p<0.05
gene,clone_exp,density_exp
SHISA9,-0.369599290959435,0.170996552944571
ANLN,0.370685686712775,0.16847937615432
CLHC1,-0.206182108095539,-0.332667840414577
TNRC6C,-0.0571366682272051,-0.481572836383371
RP11-518L10.5,0,-0.538581926442943
MYL12B,0.148051754907793,0.390528523662024
FLNB,0,0.538159564124006
NEDD4L,-0.537889270666522,0
LGALS3,0,0.537637897469176
SPIDR,-0.537576018939827,0
TAGLN2,0.348475040268178,-0.18797774188697
CCNA2,0.44061584796669,0.0958236444005292
CXCL1,0.535885343747697,0
S100A13,0.535681014832678,0
CDCA7L,0.172221481310847,-0.363429153380779
CLDN2,0.261325963245275,-0.273725462044482
RP11-11N5.3,0.21197335905741,0.323000775124105
SLC7A11,0,-0.534676161665508
HMGB2,0.477009365213243,0.0567257705351882
ABCC3,-0.53354119099682,0
WDR34,0.427710596433696,0.10524287763886
SLC8A1,0,0.532571767334747
NPNT,0.140459968462706,0.392021957097379
RP11-115D19.1,-0.532220020756675,0
SMC4,0.341521309117065,0.190469340046754
ZP3,0,-0.531720559333776
RP1-154K9.2,-0.531555729192102,0
CCT6A,0.415354427656425,0.115764753454591
PTRH2,-0.050139156497538,0.480961556106065
PRIM1,0.046369960469689,0.484291595207278
PVT1,-0.28927462217961,-0.241144904825138
TPM4,0.448698027413393,0.0816404418419532
CCL24,0,-0.529256185675681
PRDX6,0.528750644440625,0
HEPH,0,0.52869057194869
RB1CC1,-0.476448294531673,-0.0509067641518299
NUCKS1,0.376804919444942,-0.14965159617566
RPL8,0,-0.525411134359295
CAPZA1,0.194814884499476,0.33048299039469
METTL17,0,-0.525160552476467
RAD51B,-0.524866818873668,0
GPRC5B,0,0.524492397341346
C9orf142,0.449580112606165,0.0748687851894265
CKB,0.286192999714404,0.238225494240472
BBS5,-0.0467675953048544,-0.475402300771799
ANXA4,0,0.52134324009324
SHB,0,-0.520984326550616
GPATCH4,0.367990391255583,-0.152597243999084
LRP12,-0.520519083070947,0
PSMB4,0.387117990903112,0.133257371536559
MPP6,0.228038861718792,0.292268156985496
TXNDC12,0.082202131434053,0.437430189621414
RP11-485G4.2,0,-0.519422379356261
GLIS3,-0.519353388949749,0
ECH1,0.217322573970619,0.302023587833644
SNTB1,0,-0.519170768910768
APOLD1,0.242502196467642,-0.275954216122681
TBL2,0.253828164000608,0.264110759012871
TRPM6,-0.197576850690088,0.320185069008783
BPTF,-0.517628867832935,0
FHIT,-0.462098058628557,-0.0555161487742203
YBX3,0.0583705048565658,0.458670822647148
ALDH1A1,-0.516693055869713,0
KIAA0907,0.110767389643624,0.404962950698723
IQGAP3,0.369271410479658,0.146301646351116
TRAPPC9,-0.515321942829883,0
GPA33,0.221295536061536,0.293827997243444
SLX4IP,-0.400647436182349,0.114108775204824
RBMS1,0.262595090636577,0.251647295042561
SCRN1,0.437509839248544,-0.0766965779822398
CDCA8,0.224768503993474,0.289381213191463
FPGS,0,-0.513664210866696
PRKRIP1,0.0986354146545405,-0.414299965336304
FOXN3,-0.512880886426593,0
DDT,0.512020722173967,0
CYB5B,-0.236832498920839,-0.275150700864856
RAB2A,-0.511479328964181,0
RHCE,-0.0584990458922779,-0.451992091934299
MT-ND2,0,0.509758215159568
EXOC3,0,-0.509541645592115
FAT1,0.28353098379823,0.225961806135516
RP11-89K10.1,-0.197752854958397,-0.311250556160727
ZNF22,0.0725298694932908,0.436470804485019
RP11-680F8.1,-0.508802134226731,0
VIM,0.183299813159742,0.323894131787835
STAT3,-0.434485135897382,-0.0721060438297783
H2AFJ,0.426225225416058,-0.0803071918960838
NUDT1,0.506479351583106,0
DACH1,-0.186648538164399,-0.319685932702437
RPL19,-0.0607592134872911,0.444995757553399
MGAT5,-0.275404098471527,-0.230276951170026
GGCT,0.505216455445979,0
HDGFRP3,0.125567166158893,0.379453372888457
PYCRL,0.274948473585005,0.229693307731605
TMSB4X,0.139248322557965,0.365237593042628
PIGC,0.152232525251364,0.352093405614225
APOA1BP,0.504103503914265,0
MYCBP,0.359205742862943,0.144531177914337
RAN,0.503660907574149,0
SEPP1,0.503302141600014,0
RALGAPA2,-0.503223423964749,0
MRPS34,0.502541868311375,0
C1QBP,0.0617181612660136,0.439814117056016
GRIN2B,0.181376893659625,-0.319542239072989
CDK2AP2,0,0.500615606801286
FAM120AOS,0.114965760546372,0.385579662822557
PSMF1,-0.320832758858403,0.179662334081195
CELSR2,-0.50014281370643,0
ZNF800,0.184885946309419,0.314760599320678
C1orf101,-0.168840430219261,-0.330671841930333
LIMCH1,0.383567830942735,0.115843643928611
CMTR1,0,0.499040211402787
TANK,0,0.498516142570221
TPD52,-0.498348860806199,0
CNN3,0.498340906689211,0
GNA15,0,-0.496954639728134
LSM12,0,0.496856968098042
ETF1,0.394731762633757,0.101950707538634
NCOA2,-0.496400191479177,0
RP11-163N6.2,-0.125133722221101,-0.370910118482934
MTDH,-0.180092536792107,-0.315800866333285
C15orf26,-0.408467258747914,-0.0871265329992604
PSMD1,0.296006857917506,0.199537489284504
PAICS,0.374370811615786,0.121102010424423
PLXDC2,0.140824868950184,0.354497202284202
LGALS4,0.228444412977416,0.266876212231027
ATG3,0,0.494983750176628
ARMC10,0.388402860548272,0.106185935637664
FKBP4,0.233481666375767,-0.261048134355446
COX6B1,0.494456980280585,0
RP11-567C2.1,-0.494385358046363,0
TACC3,0.13715825029794,0.356366987055176
JTB,0.434994720565232,-0.0582477735113956
TOMM20,0.42466969360393,0.068217623466974
RP5-881L22.5,-0.492838400213929,0
MORN3,-0.492532272590814,0
CCDC19,0.232314026646928,0.259821428571429
TTC3,-0.490924055701384,0
ANXA1,0.128296011056292,0.362593123365897
FASTK,0,0.490353071376544
PROM1,0,-0.49029468289558
RP11-426C22.5,-0.294873313350158,-0.195327945772101
HMGA2,0.248019360591008,0.242168725852333
ANP32E,0.490154196783943,0
SLC25A3,0.423449032033695,0.0662796089493412
TIA1,0,0.489023588460737
DYNLT3,0.073760207787634,0.415107525698312
SP110,-0.488511819343037,0
ANKRD17,0.0558519054292301,-0.432519900875762
DDC,0.391690424064913,0.0964507004560677
FMO4,0,0.488088573738882
ATAD2,0.384564094982157,0.10317177321865
NPM1,0.375537581509719,0.111529346862643
PPCDC,-0.110322264621041,-0.37652771814394
SPINK1,0.054552189075005,-0.432259014123691
RP11-304L19.1,0.325112744487355,-0.16156970225489
PSME1,0.146678702924202,0.339826150459981
MLXIPL,-0.0521212319712796,-0.434336018137668
TMEM120B,-0.0817153295834017,0.404425401291808
VAT1,-0.259193609488488,-0.226893402613762
DNAJB6,0,-0.485859141164254
MLF1IP,0.403255318835816,0.0825553958528533
LMNB1,0.485753977615266,0
LASP1,0,0.485743864038304
AHNAK,0,0.48470892475774
CBFA2T2,-0.484675570047463,0
PRC1,0.37838050082948,0.106144044919555
RP11-525K10.3,-0.0714709963127685,-0.412696715703045
KLK1,-0.108303952115448,-0.375625204985241
REG1B,0,-0.483749828262628
RRAGD,0.206972588085221,-0.276664161159229
SUPT16H,0.348546588467447,0.134731393008655
COQ9,0.112412952286488,0.370828425598744
SFRP4,0,0.483128424428705
COX4I1,0.387277679858997,-0.0948565934946323
RP11-596D21.1,-0.19206042193925,-0.289888076213585
CKAP4,0.481851860628609,0
LUC7L3,-0.366503170828379,-0.115285209406791
CENPW,0.233727318717785,0.247994990571945
TBC1D16,-0.144057146636682,-0.337085786096964
IDI1,0.133140521181848,0.347650911832619
SMOC2,-0.157265332351143,-0.323511433631647
LINC00511,-0.480667469464992,0
LAMC1,0.225827575085274,0.25467908558695
HOXA9,0,-0.480500378961271
B2M,0,0.480317090669584
AC007246.3,-0.480263794070435,0
PIGM,0.393511998549856,-0.0862696431808358
SREBF2,-0.400134330022883,-0.0792142674172479
USMG5,0.0798268219771158,0.399195959179466
INTS5,0,-0.478983892129432
C8orf33,0.26278978499145,0.216101813696633
CTD-2228K2.5,-0.478473111395647,0
PLEKHM3,-0.125333456310129,-0.353091210943043
CATSPERB,0,-0.478345644756084
TRIM31,0,0.47798982444145
TUBA4A,0.228622254770421,-0.249111224665463
PTPN1,0,0.477730066515113
UPP1,0.21728688991253,0.260414402291117
HNRNPM,0.231306775697218,-0.246317037084175
NDUFV1,0.25095930962309,-0.226563340516609
ZNF713,0,-0.47745513913266
TACC1,-0.477086913011461,0
UMPS,0.0631363879732683,0.413781596170766
ADAM15,0.127869715991396,-0.348936004175019
SF3A3,0.264871048252912,0.211782445923461
MRPL51,0.476247786393412,0
HSPD1,0,-0.476063333208858
RGS5,0.105198351477224,0.370306792309791
SHROOM4,-0.123767750901116,0.351630694402224
ARFGEF1,-0.475369814459836,0
RABGAP1L,-0.349450585122787,-0.125689522047315
RPLP2,0,-0.475130220094541
MORC3,0,0.474759840848283
ANKUB1,0,-0.474463580791225
MYL6,0.33702252057994,-0.137344624790575
GHRLOS,-0.131846101536247,-0.342456316981732
DLEU1,-0.474264674105638,0
PRELID1,0.267595852775984,0.206569280814825
SUMO2,0,0.474001529321805
TIMM13,0.473813826583041,0
CDK1,0.354548367960616,0.119257860177148
XAF1,-0.332143978362192,0.141611726919269
MYOM3,-0.473605857230018,0
CHSY3,0.473528174515735,0
CYCS,0.381102614149042,0.0922855405881035
ARHGDIA,0,-0.473374463815971
ID3,0.20799689282283,0.265301533438658
MCM7,0.472996096191481,0
RIN2,-0.472903885480573,0
SH3RF2,0.299491609369537,0.173202423959911
TMPRSS4,-0.4726669604387,0
YAP1,-0.472370918292861,0
PCCA,-0.471911918864515,0
HSPA4,0.255249343832021,0.216535433070866
XPNPEP1,0.25978871533611,0.211735909797701
MED13,-0.320708175850408,-0.15054704595186
TUBA1C,0.343457140743599,-0.127787987485332
LLGL2,-0.471076378916819,0
CXCL16,0.200539151678531,0.270517372527546
DDX51,0.064536017045197,0.40592955256358
C1orf21,0.332890390675424,0.137530983386938
EIF4G1,0.116061771954398,0.354337689048067
PANX1,-0.1318672768555,0.33844967710448
ARID1B,-0.470002380763431,0
OBSL1,-0.252570233551236,0.217113441261206
ABHD17C,-0.0785913146183536,0.391068905152595
RNU6-942P,-0.325636939874564,-0.143424472983478
EIF3A,0,-0.468931275738387
RPS11,0.468889248967026,0
SULT1C4,0.46857004670284,0
HBEGF,0.100758825279541,0.3678035084476
DZANK1,-0.383002059975155,0.0847852751088957
AC016735.2,-0.467511564539636,0
NREP,0.106068082182226,0.361085636194073
SLBP,0.322418554432009,0.144626011364659
RRP15,0.46694552419582,0
DNAJC7,-0.163072718068684,-0.303683329388369
MET,0.396188904012286,0.0697655961682692
PPAT,0,0.465751496714266
ATP1B1,0.303474823675304,0.16204820833441
MIR4435-1HG,0,0.465338619846598
SBDS,0.269748449866411,0.195455462015426
RNF145,0.10221846643585,0.362814433158853
TMED4,0.095818258248332,0.368951851945
RP11-440L14.1,-0.152978957722087,-0.311775436944624
DYRK4,-0.0820506265290398,-0.382603477600122
TMEM248,0.464309058751154,0
UGT1A1,-0.464266754303916,0
RAP2C-AS1,-0.464230358557504,0
F12,0.197045226461346,-0.266949640524489
UQCRQ,0.463912274116575,0
TMEM9B-AS1,-0.380501386955329,0.083394377883704
BRIX1,0.371992074927954,0.0915946205571566
ESPL1,0.31655300006396,0.146706905986388
MOCOS,0,-0.463079559265975
JOSD1,0,0.463073050749009
UPF2,-0.0948826484516025,-0.368106762841417
RRBP1,-0.462826890602894,0
CDC25A,0.110951757107725,0.351550253970443
HSPB1,0.319739209607839,0.142713910988749
PSMD7,0.180014710430197,-0.282385931479485
RAB30-AS1,0,0.462220184888074
POLR2K,0,0.462070570316466
RPL5,0.342925046253817,0.118966321204555
KCNQ1OT1,-0.376836057325564,-0.0850469868371934
MYL5,0.219221666084662,0.242558551137296
BDH2,-0.172130393449661,-0.289630820588532
PTK7,-0.309916250465541,-0.151775738418786
DNAJC2,0.460709318497914,0
SFPQ,0.265983645841782,-0.194137425068019
NOSTRIN,0.10763575628096,0.352424680460017
DNAJC9,0.184435376996582,0.27517960521727
EEF2K,-0.288826152329095,-0.169982376904257
RP1-122P22.2,-0.371601506978771,0.0871225269003818
TTN,-0.458069204990512,0
NDUFAF3,0.0962543629638634,0.361783041311407
TRIAP1,0,0.457960302470356
LAMTOR2,0.27849203715992,0.179294701648716
PCSK1N,-0.457513345093817,0
MUC12,0.457005680470069,0
HIST1H2AC,-0.105999027787739,0.350876983273168
RP11-37B2.1,-0.456864326028,0
MEPCE,0,0.456747244769778
ATP5L,0.349563434855285,-0.107136870237417
OAS3,0,0.456555509527755
TMEM230,0,0.456526993710151
CTD-2228K2.7,0.456458635703919,0
DDR2,0.404003799165977,0.0519246525923601
CCDC134,0,0.4558505193563
SKP1,0.205568294999189,0.250057906561972
SLC38A11,-0.455602830813966,0
ENC1,0.318004930114994,0.137542700551823
TBCA,0.314546421081533,-0.140860949977509
SRSF3,0.27661345607678,0.178745144125616
POFUT2,0,0.455027580541048
LCOR,-0.104879050977131,0.349980667065042
FAM49B,-0.383354152258719,0.0713508355269154
POP1,0,0.454086804100141
TP53INP1,-0.127280034541658,0.326787978851381
TSPAN13,0.30569830884517,0.148325069993133
SLC39A11,-0.453929012293488,0
MID1,-0.453702377542252,0
CCDC84,0,0.453698526808902
RRM1,0.40229073306026,0.0512797465891368
PPM1J,0.0623470913264882,0.391156100778057
PMFBP1,-0.263948735666651,-0.189336010412796
PIBF1,-0.400751661115022,-0.0525076969958074
ENAH,0.452660087556578,0
ADK,-0.236936561701815,-0.215673063377047
FAM200A,0.143945262890526,0.308524892049784
LYAR,0.452384986389256,0
FAM83B,-0.276015319660667,-0.176136883520908
SERPINB5,-0.315776968832998,0.136360936452579
EEF1D,0.155030274672326,-0.297073355503195
MT-ATP8,0,0.451552462526767
CMC2,0.204262606594489,0.247158457766882
PRPSAP1,-0.0748198902817863,0.376544977858071
MT-RNR1,-0.451268988879115,0
GSPT1,0.363023109034786,0.0878760266341418
CD34,0.158735953272808,0.292092565551394
ZNF259,0,0.450628842140883
PSMD4,0.126836748858126,-0.323785580984403
