gene,clone1_exp,clone2_exp,log2_fc,fdr
Zfp142,0.00528287388339257,0.012375249500998,-1.22806273773027,3.30881195084299e-05
Micu3,0.0094131207376813,0.0189620758483034,-1.01037190508379,3.35078448014942e-05
Olfml3,0.0154644126404764,0.00738522954091816,1.06623737161761,3.35159778110131e-05
Hotairm1,0.0064355009124964,0.00219560878243513,1.55143143095242,3.36950592354562e-05
Mybl2,0.00432235135913937,0.0107784431137725,-1.31826054670185,3.38663576389768e-05
Sowahc,0.00403419460186341,0.0103792415169661,-1.36334843623038,3.43347457730069e-05
Figf,0.0034578810873115,0.0093812375249501,-1.43988999110338,3.44194521363016e-05
Speg,0.00739602343674959,0.00279441117764471,1.40420547776924,3.63786923911763e-05
Akr1c12,0.00624339640764576,0.0135728542914172,-1.12032116908994,3.80521161912392e-05
Zfp518a,0.0100854865046585,0.00419161676646707,1.26670195401931,3.88074424803607e-05
Fn3krp,0.00403419460186341,0.00978043912175649,-1.2776185622045,3.93057264767754e-05
Zfp51,0.00624339640764576,0.0127744510978044,-1.0328583278396,3.98534834431869e-05
2810410L24Rik,0.00451445586399001,0.00998003992015968,-1.14449347896514,3.99819169170924e-05
Heca,0.00845259821342811,0.0169660678642715,-1.00518545836846,4.0015589942301e-05
Mettl25,0.00701181442704831,0.0151696606786427,-1.11332909543162,4.00318357951955e-05
Nprl2,0.00662760541734704,0.0149700598802395,-1.17552037458576,4.01330836843389e-05
Fancc,0.00691576217462299,0.0149700598802395,-1.11411982992162,4.05183296955148e-05
E030030I06Rik,0.00739602343674959,0.0031936127744511,1.21156039982685,4.11032061896292e-05
Uvssa,0.00835654596100279,0.0171656686626747,-1.03854739972142,4.12409015402341e-05
Fancd2,0.00797233695130151,0.0165668662674651,-1.05522614086805,4.15500243682589e-05
Fam129c,0.00758812794160023,0.00279441117764471,1.44119968525145,4.15804024611643e-05
Dnajc16,0.00518682163096725,0.0111776447105788,-1.10769356076219,4.23028663719946e-05
F730043M19Rik,0.00931706848525598,0.00439121756487026,1.08525508268178,4.29419879262666e-05
Fam122b,0.0054749783882432,0.012375249500998,-1.17653243709019,4.40635733416038e-05
Nqo1,0.00979732974738258,0.00479041916167665,1.03223670038229,4.42907194993215e-05
Agrp,0.0054749783882432,0.0131736526946108,-1.26673024606176,4.43299929822259e-05
Cbx8,0.00605129190279512,0.0131736526946108,-1.12234033672659,4.48002852969014e-05
Zbtb10,0.00432235135913937,0.011377245508982,-1.39626305870312,4.48828735974879e-05
Urb2,0.00441840361156469,0.011377245508982,-1.36455419897578,4.61003822911655e-05
Ap4e1,0.00624339640764576,0.013373253493014,-1.09894751829737,4.62269917250282e-05
Lpcat4,0.00537892613581788,0.0117764471057884,-1.13051426817229,4.63692277894615e-05
Slc24a5,0.00364998559216214,0.0101796407185629,-1.47972396939596,4.7194160447929e-05
Bbs5,0.00422629910671405,0.0107784431137725,-1.35068202439422,4.80034596995041e-05
Arfip2,0.00662760541734704,0.0137724550898204,-1.05522614086805,4.80045469664748e-05
Mapre3,0.00528287388339257,0.0131736526946108,-1.31826054670185,4.82883473821599e-05
1500011B03Rik,0.00576313514551916,0.0127744510978044,-1.14833554525953,4.84398064039429e-05
Trp53rka,0.00662760541734704,0.0143712574850299,-1.1166266855322,4.85499691630791e-05
Klc2,0.00470656036884065,0.0103792415169661,-1.14095601489394,4.86015622047822e-05
Rnf113a1,0.00307367207761022,0.00798403193612774,-1.37715423575542,4.90035180399182e-05
Nrg4,0.011718374795889,0.00459081836327345,1.35194924063782,4.92236944861173e-05
BC023829,0.00518682163096725,0.0115768463073852,-1.15831963383216,4.99200180218722e-05
Slc25a14,0.00499471712611661,0.011377245508982,-1.1876764368917,5.01147684465483e-05
P3h2,0.00240130631063298,0.00778443113772455,-1.69677216995558,5.19115071030404e-05
Ighmbp2,0.00653155316492172,0.0143712574850299,-1.13768830106003,5.22044167741325e-05
Helq,0.00528287388339257,0.012375249500998,-1.22806273773027,5.25612146847522e-05
Vsig10,0.0059552396503698,0.012375249500998,-1.05522614086805,5.32088600146109e-05
Kbtbd3,0.00384209009701277,0.00918163672654691,-1.2568600020377,5.4135669275186e-05
Otud3,0.00403419460186341,0.0093812375249501,-1.21749756976693,5.50519223484118e-05
Kctd13,0.00461050811641533,0.011377245508982,-1.30315365431164,5.60051517490828e-05
Cryab,0.0115262702910383,0.00558882235528942,1.04430953268286,5.82080375796702e-05
Igtp,0.00749207568917491,0.0031936127744511,1.2301760779942,5.85699583681338e-05
Tor4a,0.00720391893189895,0.0151696606786427,-1.07433496381576,5.87029584592714e-05
9830147E19Rik,0.00220920180578235,0.00738522954091816,-1.74111755043999,5.87737212606636e-05
D630045J12Rik,0.00566708289309384,0.0125748502994012,-1.14986301500613,5.92118320292107e-05
Zfp605,0.00662760541734704,0.0143712574850299,-1.1166266855322,5.92807683128311e-05
Cd276,0.0094131207376813,0.0193612774451098,-1.04042913893997,5.92978398546038e-05
Tmed8,0.00489866487369129,0.00998003992015968,-1.02665698867128,5.96447444326155e-05
8430429K09Rik,0.00518682163096725,0.011377245508982,-1.13322865286933,6.03561858279961e-05
Dscc1,0.0132552108346941,0.0063872255489022,1.05329831591012,6.10693318991457e-05
Rpl10,0.00461050811641533,0.0103792415169661,-1.17070335828799,6.2383979171279e-05
Gm4737,0.00461050811641533,0.0101796407185629,-1.14268898211839,6.34593029508353e-05
Dyrk2,0.00355393333973682,0.00918163672654691,-1.36933473129612,6.43333358327702e-05
Apol9b,0.00451445586399001,0.00159680638722555,1.49936271080958,6.44492645531962e-05
Zc3h8,0.00585918739794448,0.0129740518962076,-1.14685661633362,6.59041563037546e-05
Cyp2c54,0.00201709730093171,0.000399201596806387,2.33709128191071,6.63382356196271e-05
Usb1,0.00499471712611661,0.011377245508982,-1.1876764368917,6.78879400984645e-05
Gm4944,0.00518682163096725,0.0107784431137725,-1.05522614086805,7.0764279594867e-05
Isca1,0.00605129190279512,0.0129740518962076,-1.10031403039659,7.28731787830821e-05
Bbs12,0.00585918739794448,0.0121756487025948,-1.05522614086805,7.29529428901204e-05
Rsph3b,0.00585918739794448,0.012375249500998,-1.07868511369204,7.30383374597696e-05
Gm12576,0.00240130631063298,0.00658682634730539,-1.45576407045178,7.31869815568833e-05
Igfbp5,0.00489866487369129,0.0157684630738523,-1.68658154707366,7.36051188585262e-05
Card10,0.00729997118432427,0.0147704590818363,-1.01675199305342,7.56641253047252e-05
Gm27003,0.00566708289309384,0.0125748502994012,-1.14986301500613,7.59032033507151e-05
Lrrc9,0.00307367207761022,0.00758483033932136,-1.30315365431164,7.6125888001797e-05
Akirin1,0.00605129190279512,0.013373253493014,-1.14403540782591,7.65417003542314e-05
Acvr1b,0.00614734415522044,0.0127744510978044,-1.05522614086805,7.7147205680008e-05
Sumf2,0.00528287388339257,0.0111776447105788,-1.081221349401,7.71739091872639e-05
Polh,0.00528287388339257,0.0125748502994012,-1.25114635084331,7.76536044994549e-05
C430049B03Rik,0.00432235135913937,0.0101796407185629,-1.23579838650987,7.87339311050433e-05
Armcx5,0.00307367207761022,0.00838323353293413,-1.44754356364681,8.15267729387823e-05
Dxo,0.00778023244645087,0.0159680638722555,-1.03730423287079,8.17835012344187e-05
Hic1,0.00393814234943809,0.0109780439121756,-1.47903384977463,8.23021344128596e-05
Ikzf2,0.0107578522716358,0.00459081836327345,1.22856682513254,8.23612270618554e-05
Uck1,0.00307367207761022,0.00978043912175649,-1.66993598498326,9.05714499545613e-05
Cdkn2a,0.00729997118432427,0.00279441117764471,1.38534645051793,9.34820951443361e-05
Armcx1,0.00259341081548362,0.00798403193612774,-1.62226673359195,9.7409991650918e-05
Morn2,0.00489866487369129,0.011377245508982,-1.2156908130613,9.84099690077045e-05
Paox,0.00653155316492172,0.0029940119760479,1.12534610477377,0.000101139072673195
F8,0.00537892613581788,0.0117764471057884,-1.13051426817229,0.000107738336500139
Mex3b,0.00480261262126597,0.0103792415169661,-1.11180966923442,0.000110970628346677
Mblac2,0.00518682163096725,0.011377245508982,-1.13322865286933,0.000112562420835398
Gm12216,0.00845259821342811,0.00359281437125749,1.23428047632693,0.000112722440054044
Dynlt1f,0.00393814234943809,0.00978043912175649,-1.31238398036518,0.000113825301188423
