xcoord,ycoord,dna_cluster
1001.52,3008.655,0
3120.65,1406.665,2
2911.285,1430.845,2
2957.045,1546.35,2
3138.005,1663.74,3
3016.26,1239.745,2
2870.79,1131.26,2
3065.01,1748.695,0
2425.215,3131.765,0
2774.265,1150.825,2
2684.695,2759.835,3
2418.065,3084.965,3
2035.215,3419.39,0
2139.215,2769.195,3
3149.575,1701.44,0
2878.72,2456.545,2
1619.8,1167.66,1
3331.51,1477.385,2
2743.78,1719.705,2
2527.85,2615.015,3
2037.035,3333.915,0
3100.89,1578.395,3
3053.245,1674.335,0
2767.245,1435.07,2
2291.315,2758.73,3
2914.275,1554.8,2
2790.71,1094.47,2
1090.05,2443.22,2
766.415,2564.64,2
3021.135,1121.705,2
1541.8,2644.915,2
836.81,2784.405,0
2519.27,1493.44,2
2614.95,2765.945,3
2751.775,1237.99,2
3082.625,2071.81,2
2499.77,931.255,0
2439.32,1081.015,2
1359.02,3086.525,0
2361.645,3301.805,0
2813.655,925.99,2
1053.975,2595.06,2
2706.99,1215.695,1
2161.25,3380.78,0
2325.44,3116.035,3
2725.19,1279.33,2
1939.47,3357.835,0
3091.855,1294.085,2
2765.815,1473.875,1
2673.71,2945.085,3
2529.02,3244.67,0
2065.895,3132.285,3
3380.325,1997.905,2
2887.82,3058.77,0
2789.605,1281.15,2
2952.04,1831.05,2
2141.36,2841.345,3
2380.885,3188.445,0
3342.95,1532.05,1
3370.77,2120.755,2
1316.315,2567.89,2
3029.715,1525.095,2
2714.66,1024.66,2
3519.815,1932.515,2
1176.37,3006.12,0
2098.915,930.345,2
2158.78,3222.83,0
3117.01,1335.88,2
2545.465,2981.16,3
3070.535,1736.475,2
2764.58,2229.63,2
2458.755,2362.685,3
3127.54,1413.88,2
2268.63,2803.125,3
1242.475,2742.155,2
2997.605,1553.175,0
3431.025,1734.395,2
2712.255,2807.74,3
1349.79,2986.555,0
2653.82,1849.575,0
3021.33,2078.18,2
2550.47,879.19,2
1158.495,2510.625,2
2401.945,3002.48,3
2574.26,3268.005,0
862.485,2376.66,2
3251.17,1646.45,2
2452.97,2060.24,0
2638.155,2929.745,3
2518.75,3250.975,0
2543.905,3242.135,0
2418.39,1009.515,2
